date,latitude,longitude
20.12.2025,59.808086,22.547159
01.01.2026,59.746558,22.56556
01.02.2026,59.648665,22.730328
04.02.2026,59.309663,22.865309
08.02.2026,58.714994,23.763506
12.02.2026,58.108899,23.867069
16.02.2026,56.76884,24.557707
19.02.2026,56.807105,24.948639
22.02.2026,56.395752,25.052679
25.02.2026,56.45636,26.016054
28.02.2026,56.603582,26.622354
05.03.2026,53.196926,24.720476
09.03.2026,53.003504,24.656266
16.03.2026,53.05671,24.636448
23.03.2026,53.0594,24.593541
30.03.2026,53.321063,24.624614
07.04.2026,53.270499,24.577055
12.04.2026,53.323842,24.52812
19.04.2026,53.0348,24.573191
26.04.2026,52.899659,24.750016
03.05.2026,53.066119,24.925444
10.05.2026,53.128766,24.883234
17.05.2026,53.192993,24.7197
24.05.2026,53.068561,24.628483
01.06.2026,52.899645,24.562844
08.06.2026,53.322509,24.467558
16.06.2026,53.054721,24.522346
23.06.2026,53.141887,24.708611
30.06.2026,53.05562,24.617964
07.07.2026,53.104145,24.622049
14.07.2026,52.905551,24.694732
21.07.2026,53.33641,25.513531
27.07.2026,53.63079,25.789512
31.07.2026,54.603058,25.313937
04.08.2026,56.864964,26.849933
08.08.2026,57.295278,25.652585
12.08.2026,58.16452,25.517028
16.08.2026,59.100892,25.315059
20.08.2026,60.528898,25.229206
24.08.2026,61.749933,24.950215
28.08.2026,63.882367,25.30273
02.09.2026,64.728546,25.051037
06.09.2026,65.801846,25.286966
10.09.2026,68.831257,22.5423
14.09.2026,68.118579,21.657264
18.09.2026,66.585422,21.92419
22.09.2026,63.998221,21.901965
26.09.2026,61.45893,22.98685
30.09.2026,60.836085,22.500809
04.10.2026,59.99764,22.942736
08.10.2026,59.878769,22.523705
13.10.2026,59.662303,22.584968
19.10.2026,59.723403,22.64137
25.10.2026,60.26138,22.450106
31.10.2026,59.834478,22.609427
06.11.2026,59.93181,22.063241
12.11.2026,59.876878,22.393761
19.11.2026,59.838426,22.14976
25.11.2026,59.377,21.389658
01.12.2026,59.030931,21.154189
07.12.2026,58.827684,20.959387
13.12.2026,58.811204,20.641009
19.12.2026,58.547533,20.445543
25.12.2026,58.591478,20.301356
31.12.2026,58.025682,20.332265
07.01.2027,58.377244,20.332265
13.01.2027,58.596971,20.218903
18.01.2027,58.690355,20.66157
23.01.2027,58.915575,20.887554
28.01.2027,59.052904,21.200288
02.02.2027,59.569261,21.507251
07.02.2027,59.799974,22.175196
